most.pop.city,states,lat,long,japenese,korean,mediteranian,mexican,Italian,Indian,chinese,thai,american,Obesity,states,Rating,Favorite,State,
Anchorage,AK,61.2181,-149.9003,3.65,3.766666667,4.222222222,3.572916667,2.944444444,3.666666667,3,3.775862069,3.33,29.8,AK,4.222222222,Mediterranean,Alaska,"=COUNTIF(q1:q51,""Meditteranean"")"
Birmingham,AL,33.5207,-86.8025,3.692307692,3.7,3.820512821,3.8,3.33,4,3.76,4.111111111,3.75,35.6,AL,4.111111111,Thai,Alabama,"=COUNTIF(q1:q51,""Meditteranean"")"
Little Rock,AR,34.7465,-92.2896,3.452380952,5,4,3.9,2.945945946,4.166666667,3.577777778,3.875,3.57,34.5,AR,5,Korean,Arkansas,"=COUNTIF(q1:q51,""Meditteranean"")"
Phoenix,AZ,33.4484,-112.074,3.88,3.617647059,4.13,4.29,4.14,3.796875,3.79,3.97,4.03,28.4,AZ,4.29,Mexican,Arizona,"=COUNTIF(q1:q51,""Meditteranean"")"
Los Angeles,CA,34.0522,-118.2437,4.25,4.34,4.25,4.33,4.1,4.04,3.94,4.04,4.12,24.2,CA,4.34,Korean,California,"=COUNTIF(q1:q51,""Meditteranean"")"
Denver,CO,39.7392,-104.9903,3.99,3.689655172,4,4.23,4.05,3.943181818,3.67,3.82,4.01,20.2,CO,4.23,Mexican,Colorado,
Bridgeport,CT,41.1865,-73.1952,3.818181818,3.625,3.964285714,3.775,3.516129032,4.428571429,3.676470588,3.857142857,3.404761905,25.3,CT,4.428571429,Indian,Conneticut,
Wilmington,DE,39.7391,-75.5398,3.5,3.865384615,4,3.744444444,3.467391304,3.576923077,3.22826087,3.8125,3.49,29.7,DE,4,Mediterranean,Deleware,
Jacksonville,FL,30.3322,-81.6557,3.91,3.9375,4,4.01,3.83,3.944444444,3.86,3.951612903,3.98,26.8,FL,4.01,Mexican,Flordia,
Atlanta,GA,33.749,-84.388,3.7,3.760416667,4.03,3.88,3.92,3.88,3.46,3.54,3.88,30.7,GA,4.03,Mediterranean,Georgia,
Honolulu,HI,21.3069,-157.8583,4.25,3.92,3.861111111,3.8,3.68,3.866666667,3.79,3.920454545,3.92,22.7,HI,4.25,Japenese,Hawaii,
Des Moines,IA,41.6005,-93.6091,4.041666667,4,3.708333333,3.93,3.358974359,3.857142857,3.283333333,3.958333333,3.44,28.6,IA,4.041666667,Japenese,Iowa,
Boise,ID,43.6187,-116.2146,3.525,3.9,3.833333333,3.73,3.523809524,3.9,3.206896552,3.95,3.55,31.3,ID,3.95,Thai,Idaho,
Chicago,IL,41.8781,-87.6298,4.12,4.05,4.25,4.22,4.12,3.86,3.93,4.11,4.08,30.8,IL,4.25,Mediterranean,Illinois,
Indianapolis,IN,39.7684,-86.1581,3.682926829,4.05,3.879310345,4.24,3.76,3.8,3.89,3.962962963,3.99,31.3,IN,4.24,Mexican,Indiana,
Wichita,KS,37.6872,-97.3301,3.74,3.928571429,3.98,3.97,2.943181818,3.642857143,3.61,4,3.59,34.2,KS,4,Thai,Kansas,
Louisville,KY,38.2527,-85.7585,3.716216216,4.208333333,3.96875,4.12,3.86,3.9,3.86,3.923076923,3.85,34.6,KY,4.208333333,Korean,Kentucky,
New Orleans,LA,29.9511,-90.0715,3.671428571,4,3.916666667,3.88,3.92,4.214285714,3.58,3.6875,4.03,36.2,LA,4.214285714,Indian,Louisiana,
Boston,MA,42.3601,-71.0589,3.76,3.602564103,4.01,3.83,4.12,3.76,3.58,3.79,3.71,24.3,MA,4.12,Italian,Massachusetts,
Baltimore,MD,39.2904,-76.6122,3.426470588,3.717391304,3.782051282,3.62,3.98,3.725806452,3.48,3.588235294,3.93,28.9,MD,3.98,Italian,Maryland,
Portland,ME,43.6615,-70.2553,4.076923077,3.875,4.0625,3.666666667,3.87037037,3.333333333,3.352941176,4.026315789,3.8125,30,ME,4.076923077,Japenese,Maine,
Detroit,MI,42.3314,-83.0458,3.6,3.7,4.03,3.9,3.98,3.615384615,3.66,3.73,3.87,31.2,MI,4.03,Mediterranean,Michigan,
Minneapolis,MN,44.9778,-93.265,3.54,3.676470588,3.86,3.99,4.03,3.815217391,3.66,3.76,3.8,26.1,MN,4.03,Italian,Minnesota,
Kansas City,MO,39.0997,-94.5786,3.75,3.6875,3.931818182,3.86,3.77,3.714285714,3.63,3.882352941,3.84,32.4,MO,3.931818182,Mediterranean,Missouri,
Jackson,MS,32.2988,-90.1848,3.722222222,5,4.3,3.678571429,2.818181818,4,3.8,3.916666667,3.06,35.6,MS,5,Korean,Mississippi,
Billings,MT,45.7833,-108.5007,4.071428571,4,4.25,3.107142857,3.576923077,3.75,2.692307692,4,3.266666667,23.6,MT,4.25,Mediterranean,Montana,
Charlotte,NC,35.2271,-80.8431,3.65,4,4,4.02,3.89,3.590909091,3.55,3.708333333,3.87,30.1,NC,4.02,Mexican,North Carolina,
Fargo,ND,46.8772,-96.7898,3.875,3.5,4.166666667,3.114285714,3.269230769,4.25,3.264705882,3.5,3.42,26.7,ND,4.25,Indian,North Dakota,
Omaha,NE,41.2524,-95.998,3.729166667,3.928571429,3.958333333,3.79,3.62,3.75,3.63,3.785714286,3.71,31.4,NE,3.958333333,Mediterranean,Nebraska,
Manchester,NH,42.9956,-71.4548,3.4375,4.136363636,4.066666667,3.717391304,3.45,4.083333333,3.214285714,4,3.329787234,26.3,NH,4.136363636,Korean,New Hampshire,
Newark,NJ,40.7357,-74.1724,3.444444444,3.96,3.272727273,3.204545455,3.166666667,3.772727273,3.265957447,3.607142857,3.162790698,25.6,NJ,3.96,Korean,New Jersey,
Albuquerque,NM,35.0853,-106.6056,3.857142857,4,3.866666667,4.07,3.61,4.125,3.79,3.934782609,3.64,28.8,NM,4.125,Indian,New Mexico,
Las Vegas,NV,36.1699,-115.1398,4.32,4.03,4.14,4.31,4.12,4,3.99,4.11,4.08,26.7,NV,4.32,Japenese,Nevada,
New York City,NY,40.7128,-74.0059,4.21,4.08,4.22,4.18,4.2,4.23,4.1,4.04,4.08,25,NY,4.23,Indian,New York,
