"most.pop.city","states","lat","long","food.type","mean.rating"
"Birmingham, AL","AL",33.5207,-86.8025,"japanese",3.69230769230769
"Phoenix, AZ","AZ",33.4484,-112.074,"japanese",3.88
"Little Rock, AR","AR",34.7465,-92.2896,"japanese",3.45238095238095
"Los Angeles, CA","CA",34.0522,-118.2437,"japanese",4.25
"Denver, CO","CO",39.7392,-104.9903,"japanese",3.99
"Bridgeport, CT","CT",41.1865,-73.1952,"japanese",3.81818181818182
"Wilmington, DE","DE",39.7391,-75.5398,"japanese",3.5
"Jacksonville, FL","FL",30.3322,-81.6557,"japanese",3.91
"Atlanta, GA","GA",33.749,-84.388,"japanese",3.7
"Boise, ID","ID",43.6187,-116.2146,"japanese",3.525
"Chicago, IL","IL",41.8781,-87.6298,"japanese",4.12
"Indianapolis, IN","IN",39.7684,-86.1581,"japanese",3.68292682926829
"Des Moines, IA","IA",41.6005,-93.6091,"japanese",4.04166666666667
"Wichita, KS","KS",37.6872,-97.3301,"japanese",3.74
"Louisville, KY","KY",38.2527,-85.7585,"japanese",3.71621621621622
"New Orleans, LA","LA",29.9511,-90.0715,"japanese",3.67142857142857
"Portland, ME","ME",43.6615,-70.2553,"japanese",4.07692307692308
"Baltimore, MD","MD",39.2904,-76.6122,"japanese",3.42647058823529
"Boston, MA","MA",42.3601,-71.0589,"japanese",3.76
"Detroit, MI","MI",42.3314,-83.0458,"japanese",3.6
"Minneapolis, MN","MN",44.9778,-93.265,"japanese",3.54
"Jackson, MS","MS",32.2988,-90.1848,"japanese",3.72222222222222
"Kansas City, MO","MO",39.0997,-94.5786,"japanese",3.75
"Billings, MT","MT",45.7833,-108.5007,"japanese",4.07142857142857
"Omaha, NE","NE",41.2524,-95.998,"japanese",3.72916666666667
"Las Vegas, NV","NV",36.1699,-115.1398,"japanese",4.32
"Manchester, NH","NH",42.9956,-71.4548,"japanese",3.4375
"Newark, NJ","NJ",40.7357,-74.1724,"japanese",3.44444444444444
"Albuquerque, NM","NM",35.0853,-106.6056,"japanese",3.85714285714286
"New York City, NY","NY",40.7128,-74.0059,"japanese",4.21
"Charlotte, NC","NC",35.2271,-80.8431,"japanese",3.65
"Fargo, ND","ND",46.8772,-96.7898,"japanese",3.875
"Columbus, OH","OH",39.9612,-82.9988,"japanese",3.7
"Oklahoma City, OK","OK",35.4676,-97.5164,"japanese",3.89285714285714
"Portland, OR","OR",45.5231,-122.6765,"japanese",4.13
"Philadelphia, PA","PA",39.9526,-75.1652,"japanese",3.91
"Providence, RI","RI",41.824,-71.4128,"japanese",3.875
"Columbia, SC","SC",34.0007,-81.0348,"japanese",3.33333333333333
"Sioux Falls, SD","SD",42.5446,-96.7311,"japanese",3.85714285714286
"Memphis, TN","TN",35.1495,-90.049,"japanese",3.75806451612903
"Houston, TX","TX",29.7604,-95.3698,"japanese",3.82
"Salt Lake City, UT","UT",40.7608,-111.891,"japanese",3.91
"Burlington, VT","VT",44.4759,-73.2121,"japanese",3.92857142857143
"Virginia Beach, VA","VA",36.8529,-75.978,"japanese",3.79
"Seattle, WA","WA",47.6062,-122.3321,"japanese",4.06
"Charleston, WV","WV",38.3498,-81.6326,"japanese",3.75
"Milwaukee, WI","WI",43.0389,-87.9065,"japanese",3.53125
"Cheyenne, WY","WY",41.14,-104.8202,"japanese",3.40625
"Anchorage, AK","AK",61.2181,-149.9003,"japanese",3.65
"Honolulu, HI","HI",21.3069,-157.8583,"japanese",4.25
