"most.pop.city","states","lat","long","food.type","mean.rating"
"Birmingham, AL","AL",33.5207,-86.8025,"korean",3.7
"Phoenix, AZ","AZ",33.4484,-112.074,"korean",3.61764705882353
"Little Rock, AR","AR",34.7465,-92.2896,"korean",5
"Los Angeles, CA","CA",34.0522,-118.2437,"korean",4.34
"Denver, CO","CO",39.7392,-104.9903,"korean",3.68965517241379
"Bridgeport, CT","CT",41.1865,-73.1952,"korean",3.625
"Wilmington, DE","DE",39.7391,-75.5398,"korean",3.86538461538462
"Jacksonville, FL","FL",30.3322,-81.6557,"korean",3.9375
"Atlanta, GA","GA",33.749,-84.388,"korean",3.76041666666667
"Boise, ID","ID",43.6187,-116.2146,"korean",3.9
"Chicago, IL","IL",41.8781,-87.6298,"korean",4.05
"Indianapolis, IN","IN",39.7684,-86.1581,"korean",4.05
"Des Moines, IA","IA",41.6005,-93.6091,"korean",4
"Wichita, KS","KS",37.6872,-97.3301,"korean",3.92857142857143
"Louisville, KY","KY",38.2527,-85.7585,"korean",4.20833333333333
"New Orleans, LA","LA",29.9511,-90.0715,"korean",4
"Portland, ME","ME",43.6615,-70.2553,"korean",3.875
"Baltimore, MD","MD",39.2904,-76.6122,"korean",3.71739130434783
"Boston, MA","MA",42.3601,-71.0589,"korean",3.6025641025641
"Detroit, MI","MI",42.3314,-83.0458,"korean",3.7
"Minneapolis, MN","MN",44.9778,-93.265,"korean",3.67647058823529
"Jackson, MS","MS",32.2988,-90.1848,"korean",5
"Kansas City, MO","MO",39.0997,-94.5786,"korean",3.6875
"Billings, MT","MT",45.7833,-108.5007,"korean",4
"Omaha, NE","NE",41.2524,-95.998,"korean",3.92857142857143
"Las Vegas, NV","NV",36.1699,-115.1398,"korean",4.03
"Manchester, NH","NH",42.9956,-71.4548,"korean",4.13636363636364
"Newark, NJ","NJ",40.7357,-74.1724,"korean",3.96
"Albuquerque, NM","NM",35.0853,-106.6056,"korean",4
"New York City, NY","NY",40.7128,-74.0059,"korean",4.08
"Charlotte, NC","NC",35.2271,-80.8431,"korean",4
"Fargo, ND","ND",46.8772,-96.7898,"korean",3.5
"Columbus, OH","OH",39.9612,-82.9988,"korean",3.81818181818182
"Oklahoma City, OK","OK",35.4676,-97.5164,"korean",4.2
"Portland, OR","OR",45.5231,-122.6765,"korean",3.9
"Philadelphia, PA","PA",39.9526,-75.1652,"korean",4.02
"Providence, RI","RI",41.824,-71.4128,"korean",3.75
"Columbia, SC","SC",34.0007,-81.0348,"korean",4.3125
"Sioux Falls, SD","SD",42.5446,-96.7311,"korean",-1
"Memphis, TN","TN",35.1495,-90.049,"korean",3.5
"Houston, TX","TX",29.7604,-95.3698,"korean",3.75581395348837
"Salt Lake City, UT","UT",40.7608,-111.891,"korean",3.75
"Burlington, VT","VT",44.4759,-73.2121,"korean",2.5
"Virginia Beach, VA","VA",36.8529,-75.978,"korean",4.125
"Seattle, WA","WA",47.6062,-122.3321,"korean",3.86
"Charleston, WV","WV",38.3498,-81.6326,"korean",4
"Milwaukee, WI","WI",43.0389,-87.9065,"korean",3.66666666666667
"Cheyenne, WY","WY",41.14,-104.8202,"korean",4
"Anchorage, AK","AK",61.2181,-149.9003,"korean",3.76666666666667
"Honolulu, HI","HI",21.3069,-157.8583,"korean",3.92
