"most.pop.city","states","lat","long","food.type","mean.rating"
"Birmingham, AL","AL",33.5207,-86.8025,"mediterranean",3.82051282051282
"Phoenix, AZ","AZ",33.4484,-112.074,"mediterranean",4.13
"Little Rock, AR","AR",34.7465,-92.2896,"mediterranean",4
"Los Angeles, CA","CA",34.0522,-118.2437,"mediterranean",4.25
"Denver, CO","CO",39.7392,-104.9903,"mediterranean",4
"Bridgeport, CT","CT",41.1865,-73.1952,"mediterranean",3.96428571428571
"Wilmington, DE","DE",39.7391,-75.5398,"mediterranean",4
"Jacksonville, FL","FL",30.3322,-81.6557,"mediterranean",4
"Atlanta, GA","GA",33.749,-84.388,"mediterranean",4.03
"Boise, ID","ID",43.6187,-116.2146,"mediterranean",3.83333333333333
"Chicago, IL","IL",41.8781,-87.6298,"mediterranean",4.25
"Indianapolis, IN","IN",39.7684,-86.1581,"mediterranean",3.87931034482759
"Des Moines, IA","IA",41.6005,-93.6091,"mediterranean",3.70833333333333
"Wichita, KS","KS",37.6872,-97.3301,"mediterranean",3.98
"Louisville, KY","KY",38.2527,-85.7585,"mediterranean",3.96875
"New Orleans, LA","LA",29.9511,-90.0715,"mediterranean",3.91666666666667
"Portland, ME","ME",43.6615,-70.2553,"mediterranean",4.0625
"Baltimore, MD","MD",39.2904,-76.6122,"mediterranean",3.78205128205128
"Boston, MA","MA",42.3601,-71.0589,"mediterranean",4.01
"Detroit, MI","MI",42.3314,-83.0458,"mediterranean",4.03
"Minneapolis, MN","MN",44.9778,-93.265,"mediterranean",3.86
"Jackson, MS","MS",32.2988,-90.1848,"mediterranean",4.3
"Kansas City, MO","MO",39.0997,-94.5786,"mediterranean",3.93181818181818
"Billings, MT","MT",45.7833,-108.5007,"mediterranean",4.25
"Omaha, NE","NE",41.2524,-95.998,"mediterranean",3.95833333333333
"Las Vegas, NV","NV",36.1699,-115.1398,"mediterranean",4.14
"Manchester, NH","NH",42.9956,-71.4548,"mediterranean",4.06666666666667
"Newark, NJ","NJ",40.7357,-74.1724,"mediterranean",3.27272727272727
"Albuquerque, NM","NM",35.0853,-106.6056,"mediterranean",3.86666666666667
"New York City, NY","NY",40.7128,-74.0059,"mediterranean",4.22
"Charlotte, NC","NC",35.2271,-80.8431,"mediterranean",4
"Fargo, ND","ND",46.8772,-96.7898,"mediterranean",4.16666666666667
"Columbus, OH","OH",39.9612,-82.9988,"mediterranean",4.08
"Oklahoma City, OK","OK",35.4676,-97.5164,"mediterranean",4.15
"Portland, OR","OR",45.5231,-122.6765,"mediterranean",4.23
"Philadelphia, PA","PA",39.9526,-75.1652,"mediterranean",4.14
"Providence, RI","RI",41.824,-71.4128,"mediterranean",3.8
"Columbia, SC","SC",34.0007,-81.0348,"mediterranean",3.66666666666667
"Sioux Falls, SD","SD",42.5446,-96.7311,"mediterranean",3.83333333333333
"Memphis, TN","TN",35.1495,-90.049,"mediterranean",4
"Houston, TX","TX",29.7604,-95.3698,"mediterranean",4.02
"Salt Lake City, UT","UT",40.7608,-111.891,"mediterranean",3.98076923076923
"Burlington, VT","VT",44.4759,-73.2121,"mediterranean",4.16666666666667
"Virginia Beach, VA","VA",36.8529,-75.978,"mediterranean",3.95652173913043
"Seattle, WA","WA",47.6062,-122.3321,"mediterranean",4.14
"Charleston, WV","WV",38.3498,-81.6326,"mediterranean",3.85714285714286
"Milwaukee, WI","WI",43.0389,-87.9065,"mediterranean",3.75
"Cheyenne, WY","WY",41.14,-104.8202,"mediterranean",4.0625
"Anchorage, AK","AK",61.2181,-149.9003,"mediterranean",4.22222222222222
"Honolulu, HI","HI",21.3069,-157.8583,"mediterranean",3.86111111111111
