"","name"
"1","A + Hong Kong Kitchen"
"2","Xi'an Noodles"
"3","Harbor City Restaurant"
"4","Magic Dragon"
"5","Country Dough"
"6","Sichuanese Cuisine"
"7","Chef Liao Asian Fusion Cuisine"
"8","Fu Shen"
"9","Hue Ky Mi Gia"
"10","Best Choice Express"
"11","Mike's Noodle House"
"12","Din Tai Fung"
"13","Red Lantern"
"14","Mee Sum Pastry"
"15","Monsoon Seattle"
"16","Spiceup Szechuan Cuisine"
"17","Wong's Kitchen and Bar"
"18","Kau Kau Barbeque"
"19","King Noodle"
"20","SilkRoad Noodle Bar"
"21","Regent Bakery & Cafe"
"22","Yummy Space"
"23","Lee's Asian Restaurant"
"25","Gourmet Noodle Bowl"
"26","Pacific Cafe Hong Kong Kitchen"
"27","Julie's Garden"
"28","Qian noodle"
"29","Lucky Chinese Restaurant"
"30","Mr & Mrs Wok"
"31","Szechuan Noodle Bowl"
"32","Jade Garden"
"33","Kraken Congee"
"34","Ballard Mandarin"
"35","Chinapie"
"36","Uptown China Restaurant"
"37","Fu Man Dumpling House"
"38","Teriyaki Bowl"
"39","Zen Noodle & Cafe"
"40","Hong Kong Bistro"
"41","Young's Restaurant"
"42","New Luck Toy"
"43","Fortune Garden"
"44","Chiang's Gourmet Restaurant"
"45","Canton Wonton House"
"46","Fortuna Cafe"
"47","Okinawa Teriyaki"
"48","Golden City"
"49","Honey Court Seafood Restaurant"
"50","Ton Kiang Barbeque Noodle House"
"51","Lionhead"
"52","New China Express"
"53","Chungee's Drink 'N Eat"
"54","Shanghai Garden"
"55","Rainier Restaurant & BBQ"
"56","New Teriyaki & Wok"
"57","Golden Daisy Restaurant"
"58","Mee Sum"
"59","Bamboo Garden Vegetarian Cuisine"
"60","Saigon Deli"
"61","Jasmine's Grill & Bar"
"62","Bamboo Village Restaurant"
"63","Chen's  Village"
"64","Ho Ho Seafood Restaurant"
"65","Little Ting's Dumplings"
"66","Tai Tung Chinese Restaurant"
"67","Judy Fu's Snappy Dragon"
"68","Henry's Taiwan Kitchen"
"69","Yummy Café"
"70","Style Hot Pot"
"71","663 Bistro"
"72","Uncle <U+200B>Lee's"
"73","Kigo Kitchen"
"74","Dumplings of Fury"
"75","Spring Roll House-Deli"
"76","Teriyaki & Wok"
"77","Nori Presto"
"78","Szechuan Fish"
"79","Ikiiki"
"80","Genghis Khan Restaurant"
"81","Y&A Cafe"
"82","Ming China Bistro"
"83","Daimonji Japanese Restaurant"
"84","Yang's Noodle"
"85","C Fruit Life"
"86","Lotus Asian Kitchen & Lounge"
"87","P.F. Chang's"
"88","Othello Wok and Teriyaki"
"89","JB Garden"
"90","Dim Sum King"
"91","Alicia Fusion Bistro"
"92","Red Pepper"
"93","Northwest Tofu"
"94","Pike Place Chinese Cuisine"
"95","Henry's Taiwan Plus"
"96","Yinzi's Kitchen"
"97","Purple Dot Cafe"
"98","Hong Kong Seafood Restaurant"
"99","Yum Yum Teriyaki"
"100","China Harbor Restaurant"
"101","Joy Palace Seafood Restaurant"
"102","Gim Wah Restaurant"
"103","Master Chef"
"104","Yen Wor Village"
"105","Mandarin Gate"
"106","Hong Kong Dim Sum"
"107","Seven Stars Pepper Szechuan Restaurant"
"108","Wok"
"109","Foo Lam Chinese Restaurant"
"110","Orient Express"
"111","Beacon B.B.Q."
"112","China First"
"113","Joyale Seafood Restaurant"
"114","Henry's Taiwan Bistro"
"115","Happy Times Bistro"
"116","HK Dim Sum"
"117","HardWok Cafe"
"118","Yu Shan Chinese Restaurant"
"119","Olympic Express"
"120","Little Dough"
"121","Taste of Asia"
"122","Duk Li Dim Sum"
"123","New Star Seafood Restaurant"
"124","Ping's Dumpling House"
"125","Teriyaki Seven"
"126","Rickshaw Restaurant"
"127","Tung Kee Mì Gia"
"128","Canton Noodle House"
"129","Pho 25"
"130","Shabu Plus"
"131","Ichi Roll Wok & Teriyaki"
"132","Thien Phat"
"133","Vietnam House"
"134","Liana Cafe House"
"135","Cafe O'Dessert"
"137","Little Sheep Mongolian Hot Pot"
"138","Happy Garden"
"139","Shodai Teriyaki"
"140","A Piece of Cake"
"141","Facing East"
"143","Ping's Food Market"
"144","Jade Restaurant & Lounge"
"145","China Best Wok"
"146","Seattle's Best Teriyaki"
"147","Dim Sum House"
"148","Pho Saigon"
"149","Beijing O'Chef"
"150","University Kitchen"
"151","King's Barbeque House"
"152","Maxang Deli & Cafe"
"153","On The Fly"
"154","Ocean Star"
"155","Peony Kitchen"
"156","Asia Bar-B-Que"
"157","Yea's Wok"
"159","Asia Ginger Teriyaki & Roll"
"160","Alta Healthy Cafe"
"161","Szechuan Chef Chinese Restaurant"
"162","Sun Bakery & Cafe"
"163","Great China Restaurant"
"164","La Bu La"
"165","House of Hong Restaurant"
"166","Tofu 101"
"167","Best Wok"
"168","Tiger Garden"
"169","Fortune Noodle House"
"171","Shanghai House"
"172","Dough Zone Dumpling House"
"173","Nara Chinese Restaurant"
"174","Little Taipei"
"175","Shanghai Cafe"
"176","Miah's Kitchen"
"177","Rainiant Chicken Hotpot"
"178","Momoda"
"179","Asian Express"
"180","Best Teriyaki"
"181","Yang's Dumpling House"
"182","Spiced"
"183","Four Seas Restaurant"
"184","Top Gun Seafood Restaurant"
"185","Jun Xuan Bistro"
"186","Choi's Mongolian Grill"
"187","Frying Fish"
"188","Baskets Cafe"
"189","Shanghai Shanghai Restaurant"
"190","Noodle Zen"
"191","Tai-Ho Restaurant"
"192","Peking Chinese Restaurant"
"193","Herbs Thai To Go"
"194","Toy's Cafe"
"195","Peking House"
"196","Panda Express"
"197","Kung-Ho Chinese Cuisine"
"198","Cafe Ori"
"199","Chan's Place"
