"","name"
"1","Taste of India"
"2","Annapurna Cafe"
"3","Daawat Indian Grill & Bar"
"4","Nirmal's"
"5","Kanak Cuisine of India"
"6","Saffron Grill"
"7","Chili's South Indian Restaurant"
"8","Cedars Restaurant"
"9","India Bistro"
"10","Naansense"
"11","The Roll Pod"
"12","Bengal Tiger"
"13","Far Eats"
"14","Chutneys Queen Anne"
"15","Maharaja Cuisine of India"
"17","Travelers Thali House"
"18","Garam Masala"
"19","Tandoori Hut"
"20","Moti Mahal Indian Cuisine"
"21","Tandoozy"
"22","Kastoori Grill"
"23","India Express"
"24","Chutneys Bistro"
"25","Jewel of India"
"26","Roti Indian Cuisine"
"27","Kalia"
"28","Mirch Masala"
"29","Masala of India Cuisine"
"30","Qazi's Indian Curry House"
"31","Saffron Spice"
"32","Cafe Zum Zum"
"33","Cedars in Capitol Hill"
"34","Shalimar"
"35","Naanz Kitchen + Bar"
"36","Turmeric 'n More"
"37","Mehak Indian Cuisine"
"38","Pabla Punjabi Cuisine"
"39","Madhu Cuisine Of India"
"40","Kathakali"
"41","Bombay Grill"
"42","Cafe Bollywood"
"43","Yeti Bar"
"44","Dakshin South Indian Bistro"
"45","Moghul Express"
"46","Mumbay Wraps"
"47","The Chai Place"
"48","Spice Route Cuisine of India"
"49","Moghul Palace Indian Cuisine"
"50","Bombay House"
"51","The Everest Kitchen"
"52","Taj Palace"
"53","Royal India"
"54","India Gate Restaurant"
"55","Roll OK Please"
"56","Moksha"
"57","JustTiffins"
"58","Chutneys"
"59","New Delhi Palace"
"60","Shamiana Restaurant"
"61","Clay Oven"
"62","Chaat House"
"63","Mayuri Indian Cuisine"
"64","Dalhousie Square"
"65","Spice Route"
"66","Indian Palace"
"67","Kabab House"
"68","Udupi Cafe"
"69","Chaat N Roll"
"70","Anjappar Chettinad"
"71","Bawarchi"
"72","Kurbside Grill"
"73","Ruchi Indian Restaurant"
"74","Curry Point"
"75","Swagath Indian Grocery and Restaurant"
"76","Bowl-o-Rama"
"77","Kabab Palace"
"78","Gyro Express"
"79","Can-Am Pizza"
"80","Mayuri Bakery"
"81","International Food Corner"
"82","Dosas"
"83","Cookhouse Restaurant & Bar"
