"","name"
"1","Il Corvo Pasta"
"2","Pomodoro"
"3","Cascina Spinasse"
"4","Ristorante Machiavelli"
"5","The Pink Door"
"6","Intermezzo Carmine"
"7","List"
"8","Barolo Ristorante"
"9","Tavolata"
"10","Bizzarro Italian Café"
"11","LoPriore Bros Pasta Bar"
"12","Aglio e Olio"
"13","Altura"
"14","Bar Cotto"
"15","Orfeo"
"16","La Fontana Siciliana"
"17","Il Terrazzo Carmine"
"18","Assaggio Ristorante"
"19","Pasta Bella"
"20","Via Tribunali - Capitol Hill"
"21","Tulio"
"22","Artusi"
"23","San Fermo"
"24","Ristorante Doria"
"25","Che Sara Sara"
"26","Vito's"
"27","How To Cook a Wolf"
"28","Serafina"
"29","The Station"
"30","IL Bistro"
"31","Staple & Fancy Mercantile"
"32","La Rustica"
"33","Perché No Pasta & Vino"
"34","Mo & Lu Pasta"
"35","Tavolàta"
"36","Vendemmia"
"37","Cantinetta"
"38","Ristorante Picolinos"
"39","Salvatore Ristorante"
"40","Radici"
"41","Bar Del Corso"
"42","Via Tribunali"
"43","Raccolto"
"45","That's Amore! Italian Cafe"
"46","Little Lago"
"47","Westcity Sardine Kitchen"
"48","La Toscanella"
"49","Tutta Bella Neapolitan Pizzeria - Wallingford"
"50","Osteria la Spiga"
"51","Mondello Ristorante Italiano"
"52","The Zouave Restaurant"
"53","Cinque Terre Ristorante"
"54","Volterra"
"55","Cafe Bengodi"
"56","Palermo-Ballard"
"57","Mioposto"
"58","Mioposto - Bryant"
"59","Pizzeria Credo"
"60","Tutta Bella Neapolitan Pizzeria - South Lake Union"
"61","Il Fornaio"
"62","La Vita E Bella"
"63","Agrodolce"
"64","Contadino"
"65","Mamma Melina Ristorante + Pizzeria"
"66","Pizzuto's"
"67","Rione XIII"
"68","Holy Cannoli"
"69","Olympia Pizza and Spaghetti House III"
"70","La Medusa"
"71","Saltoro"
"72","Bar Cantinetta"
"73","Pasta & Co"
"74","Cuoco"
"75","Brunello Ristorante Italiano"
"76","Zaccagni's"
"77","Pizzeria 88"
"78","Tutta Bella Neapolitan Pizzeria - Columbia City"
"79","Pizzeria Pulcinella"
"80","Luigi's Italian Eatery"
"81","Piatti"
"82","Pellegrini Italian Market"
"83","Modena Pizza & Pasta"
"84","Napoli Pizzeria"
"85","Mangia Me"
"87","Lucia"
"88","Cafe Lago"
"89","Rigoletto"
"90","Mama Stortini's Restaurant and Bar - Seattle"
"91","Olympic Pizza & Pasta"
"92","Buca di Beppo"
"93","Cafe da Pino"
"94","Soprano's Antico"
"95","Caffè Musica"
"96","Cornuto Pizzeria"
"97","Palermo Pizza & Pasta"
"98","Olympia Pizza & Spaghetti House"
"99","Veraci Pizza"
"100","Varlamos Pizzeria"
"101","Anchovies & Olives"
"102","Patxi's Pizza"
"103","Stellar Pizza & Ale"
"104","Ballard Pizza Company"
"105","Pizzeria 22"
"106","Pegasus Pizza"
"107","White Center Pizza & Spaghetti House"
"108","Pasta Freska"
"109","Via Rosa 11"
"110","Pizza Pro"
"111","Meatball Revolution"
"112","Domani Pizzeria and Restaurant"
"113","Carmine's"
"114","Primo"
"115","Uncle Paulie's Meatball Subs"
"116","Bambino's Pizzeria"
"117","GUSTA Sandwiches"
"118","Luciano's Pizza & Pasta"
"119","Luigis Pizza & Pasta"
"120","The Independent Pizzeria"
"121","Stacia's Gourmet Pizza & Pasta"
"122","The Olive and Grape"
"123","Olympia Pizza & Pasta"
"124","The Cheesecake Factory"
"125","Elemental PIzza"
"126","Soprano's Pizza & Pasta"
"127","Magnolia Pizza & Pasta"
"128","Vivo 53"
"129","Romio's Pizza & Pasta"
"130","Olympia Pizza & Spaghetti House II"
"131","Milano Pizza & Pasta"
"132","Lilac Cafe"
"134","Streamliner Diner"
"135","Pogacha Restaurant"
"136","Maggiano's Little Italy"
"137","Luigis Place"
"138","Cafe Veloce"
"139","Ristorante Paradiso"
"140","Amante Pizza & Pasta"
"141","Cafe Juanita"
"143","Little Italy Seattle"
"144","Romio's Pizza & Pasta - Belltown"
"145","Acropolis Pizza & Pasta"
"147","Luigi's Little Italy Tour"
"148","Amaro Bistro"
"149","Italianissimo Ristorante"
"151","Alberona's DaVinci Pizza & Pasta"
"152","Pasta Nova"
"153","Spiro's Pizza & Pasta"
"154","La Toscanella South Park"
"155","Beba's Deli Market"
"156","Angelo's"
"157","Davinci's Pizza & Pasta"
"158","Vista Lago"
"159","Tutta Bella Neapolitan Pizzeria - Bellevue"
"160","Padrino's Pizza and Pasta"
"161","Romios Pizza  and  Pasta"
"163","Angelo's Pizza & Pasta House"
"164","Tuscan Stone Pizza"
"165","A Pizza Mart"
"166","Andiamo"
"167","Lopriore Brothers Pasta Bar"
"168","Tuscan Stone Wood Fired Pizza"
"169","Vivi Pizzeria"
"170","Bruciato"
"171","Vince's Italian Restaurant & Pizzeria"
"172","Ziti Italiano Pizza"
"173","Belltown Pizza"
"175","Daddy G's Bistro"
"176","Flying Saucer Pizza"
"177","Steve's Bar & Grill"
"178","Westside Pizza"
"179","Sarducci's Sub"
"181","Readi Spaghetti"
"182","Padrino's Pizza & Pasta"
"184","Elemental Pizza"
"186","That's A Some Pizza"
"187","Olive Garden Italian Restaurant"
"190","Topolino's Pizza"
"192","Nick's Greek & Italian Cuisine"
"193","Briatore Pizza"
"194","Pizza Bank Restaurant"
"195","Ziti Pasta Italiano"
