"","name"
"1","Tsukushinbo"
"2","Shiro's"
"3","Japonessa"
"4","Suika Seattle"
"5","Sushi Kashiba"
"6","Umi Sake House"
"7","Maneki"
"8","Karaage Setsuna"
"9","Nishino"
"10","Momiji"
"11","Musashi's"
"12","Kizuki Ramen & Izakaya"
"13","Wasabi Sushi & Izakaya"
"14","Tokara"
"15","Shiki Japanese Restaurant"
"16","Yoroshiku"
"17","Wataru"
"18","Kisaku Sushi"
"19","Mashiko Japanese Restaurant & Sushi Bar"
"20","Itadakimasu"
"21","Ooink"
"22","Sake Nomi"
"23","Adana"
"24","Suga"
"25","Ikina Sushi"
"26","Maekawa Bar"
"27","Sushi Kappo Tamura"
"28","Chiso Restaurant"
"29","U:Don"
"30","Nuna Ramen"
"31","Fuji Sushi"
"32","Issian"
"33","Sushi Kanpai"
"34","Modern Japanese Cuisine"
"36","Arashi Ramen"
"37","Ironsteak"
"38","Shiku Sushi"
"39","Sushi Kudasai"
"40","Irashai Sushi"
"41","Daimonji Japanese Restaurant"
"42","The Gokan By Musashi"
"43","Poke Alice"
"44","Iconiq"
"45","Katsu Burger - Capitol Hill"
"46","Mura Asian Eatery"
"47","Wann Japanese Izakaya"
"48","Kozue Restaurant"
"50","Tsui Sushi Bar"
"51","Sansei Seafood Restaurant & Sushi Bar"
"52","Ku Sushi and Izakaya"
"53","Cutting Board"
"54","Sushi Tokyo"
"55","Kaname Izakaya"
"56","Billy Beach Sushi and Bar"
"57","Hurry Curry of Tokyo"
"58","Hamanasu"
"60","Hiroshi's Catering, Take-out & Deli"
"61","Kiriba Sushi"
"62","Kushibar Japanese Bar & Restaurant"
"63","Obasan"
"64","Nori Presto"
"65","Toyoda Sushi"
"67","Ichiro Sushi and Teriyaki"
"68","Fort St. George"
"69","Ikiiki"
"70","Jae's Asian Bistro & Sushi"
"71","Kamei Japanese Restaurant"
"72","Katsu Burger"
"73","Aloha Ramen"
"74","Hana Restaurant"
"75","I Love Wasabi"
"76","Village Sushi"
"77","Okinawa Teriyaki"
"78","Wabi-Sabi Sushi Bar & Restaurant"
"79","Mr & Mrs Wok"
"80","Aoki Japanese Grill & Sushi Bar"
"81","Nikko Teriyaki"
"82","Cafe Belltown"
"83","Tako Kyuuban Takoyaki"
"84","Azuma Sushi"
"85","Moshi Moshi Sushi"
"86","Red Bowls"
"87","Moli Bento"
"88","Ramen Man Noodle House"
"89","Roaring Bowl"
"90","Teriyaki 1st"
"91","Moon's Kitchen"
"92","Joy Bento"
"93","Teriyaki Bowl"
"94","BeanFish"
"95","Ten Sushi"
"96","Samurai Noodle"
"97","Ohana"
"98","Mio Sushi"
"99","Umami Kushi"
"100","Bento World"
"101","Kai Market"
"102","New Teriyaki & Wok"
"103","Tengu Sushi"
"105","J Sushi"
"106","I Love Sushi On Lake Union"
"107","Buxx Teriyaki"
"108","Nijo Sushi Bar & Grill"
"109","I Love Teriyaki"
"110","Koibito Sushi & Teriyaki"
"111","Ichi Roll Wok & Teriyaki"
"112","Othello Wok and Teriyaki"
"113","Himitsu Teriyaki"
"114","Yoshino Teriyaki"
"115","Kiki Ramen"
"116","Sunny Teriyaki"
"117","Mori Sushi Japanese Restaurant"
"119","Sushi Town"
"120","Sam's Sushi Bar & Grill"
"121","Marinepolis Sushi Land"
"122","Best Teriyaki"
"124","Teriyaki & Wok"
"125","Octo Sushi & Happy Octo Bar"
"126","Izumi"
"127","Minamoto Japanese Cuisine"
"128","Dragonfish Asian Cafe"
"129","Blue C Sushi"
"131","Best of Bento"
"132","Rainier Teriyaki"
"133","Toshi's Teriyaki The Original"
"135","Toshio's Teriyaki"
"136","Ginza"
"137","Asia Ginger Teriyaki & Roll"
"138","Manna Deli & Teriyaki"
"139","Ishoni"
"141","Momoya Sushi & Sake House"
"142","Umai Sushi and Teriyaki"
"143","Oto Sushi"
"145","I Luv Teriyaki"
"146","Diablo Food Truckz"
"147","Yummy Teriyaki"
"149","Sarku Japan"
"150","Nasai Teriyaki"
"151","Wanna Teriyaki & Burger"
"152","Yo Zushi"
"153","Teriyaki Time"
"154","Yak's Restaurant"
"155","Teriyaki Seven"
"156","FLO Japanese Sushi Restaurant & Sake Bar"
"157","Sen Japanese Gourmet Deli & Catering"
"158","Pinto Thai Bistro & Sushi Bar"
"159","Sushi Joa - Kirkland"
"160","I Love Bento"
"161","Kamonegi"
"162","Sushi Maru"
"163","SuBI Japanese Restaurant"
"164","Yum Yum Teriyaki"
"165","Sushi Joa - Mercer Island"
"166","Rolls and Rolls Plus Sushi"
"167","Hokkaido Ramen Santouka"
"168","Bento Sushi"
"169","Sandwich House Tres"
"170","Cafe Flag"
"171","I Love Sushi"
"172","Hiroshi's Poke"
"173","Tuna House Japanese Cuisine"
"175","Sushi In Joy"
"177","Mikou Teriyaki"
"178","Sushi Roll Roll Roll"
"179","Nasai Teriyaki at UW"
"181","Tokyo Stop"
"182","Ichiro Teriyaki"
"183","Kyoto Teriyaki"
"184","Ichi Bento"
"185","Ikiiki Sushi"
"186","Hana Sushi"
"188","Akane"
"189","Teriyaki Town"
"190","Kiku Sushi"
"191","Big Tuna"
"192","Tokyo Japanese Restaurant"
"194","Yak's Teriyaki"
"196","Sushiya"
"197","Teriyaki & Pho"
"198","Teriyaki Madness"
"199","Toshi's Teriyaki"
"200","Taste of Asia"
