"","name"
"1","Korean Bamboo"
"2","Chan Seattle"
"3","BlueStone"
"4","Chili & Sesame Korean Kitchen"
"5","Umma's Lunch Box"
"6","Tofully"
"7","Revel"
"8","Kimchi Bistro"
"9","Kimchi House"
"10","Joule"
"11","Girin"
"12","Korean Tofu House"
"13","Bibimbap"
"14","GoldinBlack"
"15","Itadakimasu"
"16","Red Lantern"
"17","Mura Asian Eatery"
"18","Citizen Six"
"19","Marination Station"
"20","Marination Ma Kai"
"21","Green House Korean Restaurant"
"22","Kraken Congee"
"23","Marination"
"24","Bibimbap King"
"25","Cafe Belltown"
"26","Seoul Tofu House"
"27","Shilla Korean BBQ"
"29","Ku Sushi and Izakaya"
"30","Bok a Bok Fried Chicken"
"31","Teriyaki 1st"
"32","Oma Bap"
"33","Commissary Korean Kitchen"
"34","Kong Tofu House - Seattle"
"35","Kofoo Bueno"
"36","Le Chatel Bakery & Cafe"
"37","Tig Kitchen and Bar"
"38","Roaring Bowl"
"39","Joy Bento"
"40","Red Bowls"
"41","BBQ Chicken"
"42","Bomba Fusion"
"43","Haenam Kalbi & Calamari"
"44","Deli Seoul"
"45","Seoul Garden"
"46","Yummy Bites"
"47","O'BOP"
"48","Bento World"
"49","Old Village Korean Restaurant"
"50","Teriyaki & Wok"
"51","Seoul Hot Pot"
"52","Southgate Garden"
"53","University Kitchen"
"54","Teriyaki Madness"
"55","Blue Ginger Korean Barbecue"
"56","Shanghai House"
"57","Ichiro Teriyaki"
"58","The Grill King Korean Cuisine and BBQ"
"59","Kyoto Teriyaki"
"60","Rainier Teriyaki"
"61","Nara Chinese Restaurant"
"62","Taste of Asia"
"63","Asia Ginger Teriyaki & Roll"
"64","Teriyaki Plus"
"65","Peking Chinese Restaurant"
"67","Cafe Bee"
"68","Nasai Teriyaki"
"69","Cafe 5ive"
"70","Bimbap"
"72","Asian Express"
"73","Korean BBQ Bistro"
"74","Gogi On The Go"
