"","name"
"1","Petra Mediterranean Bistro"
"2","Mediterranean Express"
"3","Mashawi Mediterranean Cuisine"
"4","Mamnoon"
"5","Cafe Turko"
"6","Lola"
"7","Gorgeous George's Mediterranean Kitchen"
"8","Aladdin Falafel Corner"
"9","The Golden Olive"
"10","Eggs & Plants"
"11","Bodrum Bistro Anatolian Kitchen"
"12","Shawarma King"
"13","Corvus & Company"
"14","Cicchetti"
"15","Byrek & Baguette"
"16","Zaina"
"17","Café Paloma"
"18","Zaina Food Drinks & Friends"
"19","Ephesus Restaurant"
"20","Safari Njema Restaurant"
"21","Stoneburner"
"22","Vios Cafe"
"23","Mediterranean Mix"
"24","The Shop Agora"
"25","Bistro Turkuaz"
"26","Cedars of Lebanon"
"27","Mr Gyros - Seattle"
"28","Cedars Restaurant"
"29","Mawadda Cafe"
"30","Aladdin Gyro-Cery"
"31","Niko's Gyros"
"32","Gyro Stop Mediterranean Grill"
"34","Mr. Gyros"
"35","Samir's Mediterranean Grill"
"36","Hummus Cafe"
"37","Grappa"
"38","Andaluca Restaurant"
"39","Mado's"
"40","Sinbad Express"
"41","Hallava Falafel"
"42","Cuadra No. 32"
"43","Mr. D's Greek Delicacies"
"44","Olive Tree Mediterranean Restaurant"
"45","Gyro Hut"
"46","Yanni's Greek Restaurant"
"47","Saffron Grill"
"48","Sultan Gyro Grill & Shawarma"
"49","Zaki Mediterranean Grill"
"50","Bananas Grill"
"51","Falafel King"
"52","Harissa Mediterranean Cuisine"
"53","Petra Mediterranean Cafe"
"54","Taki's Mad Greek"
"55","Sam's Mediterranean Cuisine & Fresh Fruit Smoothies"
"56","Lake City Gyros"
"57","Pita Xpress"
"58","Marrakesh Moroccan Restaurant"
"59","Falafel Salam"
"60","Gyro House"
"61","Chaco Canyon Organic Cafe"
"62","Grill Xpress"
"63","Mediterranean Kitchen"
"64","Kouzina"
"65","Portalis Wine Shop"
"66","The Olive and Grape"
"67","The Greek Kitchen"
"68","Anar"
"69","Istanbul Cuisine"
"70","Deli Shez Café"
"71","Cedars in Capitol Hill"
"73","Athena's"
"74","Main St. Gyros"
"75","Garlic Crush"
"76","Palomino"
"77","Domani Pizzeria and Restaurant"
"78","Bahati Restaurant"
"79","Santorini Greek Grill"
"82","Vios Cafe at Third Place"
"83","Sultan Gyro and Shawarma Grill"
"84","Collections Cafe"
"85","Jasmine Kitchen"
"86","Padria Mediterranean Café"
"87","Costa's Restaurant"
"88","Mediterranean Grill"
"89","Kasbah Moroccan Restaurant"
"90","Shawarmaniac"
"91","Eltana"
"92","Sunset Bistro"
"93","Mondello Ristorante Italiano"
"94","Kurbside Grill"
"95","Gyro Express Mediterranean Grill"
"96","Super Gyros"
"97","KABAB"
"98","Qazi's Indian Curry House"
"99","Byblos Deli"
"100","Fayza Restaurant"
"101","Greek Pita"
"102","Al Basha"
"103","Gyro World"
"104","Mediterranean Cuisine"
"105","Gyros House Mediterranean Grill"
"106","Tawakal"
"107","Greek Express"
"110","Gyro Express"
"112","Palomino Restaurant & Bar"
"113","Gusay Grocery"
"114","George's"
"115","International Food Corner"
"116","Basil's Bistro"
"117","Toscano"
