"","name"
"1","Fogón Cocina Mexicana"
"2","Asadero Ballard"
"3","Villa Escondida"
"4","Tacos Chukis"
"5","El Borracho"
"6","La Cocina Oaxaquena"
"7","Casco Antiguo"
"8","Taqueria Cantina"
"9","La Carta de Oaxaca"
"10","Mezcaleria Oaxaca"
"11","El Legendario Mexican Restaurant"
"12","Fonda La Catrina"
"13","Plaza Garibaldi"
"14","Cafetal Quilombo"
"15","Gracia"
"16","Pecado Bueno"
"17","El Quetzal"
"18","Casa Patrón"
"19","El Camión"
"20","Cactus Restaurants"
"21","La Antigua Casa Maria"
"22","The Saint"
"23","Luna Azul"
"24","Guanaco's Tacos Pupuseria"
"25","Senor Moose Cafe"
"26","Taquería Tequila Authentic Mexican Food"
"27","Tacos El Asadero"
"28","Rancho Bravo Tacos"
"29","Barrio Mexican Kitchen & Bar"
"30","Los Agaves at Pike Place"
"31","Rosita's Mexican Grill"
"32","Baja Bistro"
"33","Loxicha Authentic Oaxaca Cuisine"
"34","Citizen Six"
"35","Taqueria Sotelo"
"36","Blue Water Taco Grill"
"37","Poquitos"
"40","TNT Taqueria"
"42","Carnitas Michoacan"
"43","Cantina Leña"
"44","Taqueria La Fondita #2"
"45","Chavez"
"47","Red Star Taco Bar"
"48","Taqueria La Pasadita"
"49","The Station"
"50","El Sirenito"
"51","Tortas Condesa"
"52","Tropicos Breeze"
"54","Gordito's Healthy Mexican Food"
"56","El Camino"
"57","Peso's Kitchen & Lounge"
"58","Neon Taco"
"59","Agua Verde Cafe"
"61","El Ranchon"
"62","El Chito"
"63","La Vaca Burrito Express"
"64","El Sombrero Family Mexican Restaurant"
"65","Mendoza's Mexican Mercado"
"66","Mariscos Mexico"
"67","Cocina Esperanza"
"68","Mission Cantina"
"69","El Borracho Ballard"
"70","Monarca Express"
"71","Taco Street"
"72","Malena's Taco Shop"
"73","La Cocina & Cantina"
"74","El Asador"
"75","El Chupacabra"
"77","El Gallito"
"78","Agave Cocina and Tequilas"
"79","418 Public House"
"80","Mexico Cantina y Cocina"
"82","The Matador"
"83","Mezcales Grill"
"84","Tacos y Mariscos El Tiburon"
"85","Nana's Family Mexican Kitchen & Cantina"
"86","Bebas & Amigos"
"87","LA Palma Mexican Restaurant"
"88","Nacho Borracho"
"89","Sexy Alley Puffy Tacos"
"91","Summit Public House"
"92","El Naranjo"
"93","Bimbos Cantina"
"94","El Norte Lounge"
"95","El Farol Mexican Restaurant"
"96","Hecho"
"97","Little Water Cantina"
"98","Tiko Riko"
"99","Huarachitos Cocina Mexicana"
"100","El Camion"
"101","Tenoch Mexican Grill"
"102","Taqueria El Ranchero"
"104","Taqueria Guaymas"
"105","Tacos Guaymas"
"106","Luisa's Mexican Grill"
"107","Los Tinos Mexican Restaurant"
"108","Tu Cantinas"
"109","Taqueria Tehuacan"
"111","Taqueria Los Potrillos #4"
"112","Grumpy's Food Truck"
"113","Memo's Mexican Food Restaurant"
"114","Baja Tacos & Beer Mexican Restaurant"
"115","Taco Gol"
"116","El Paisano Rosticeria Y Cocina"
"117","Jalapeno Mex Food"
"118","Cantina de San Patricio"
"119","Chile Pepper Restaurant"
"120","Manu's Tacos"
"121","Anita's Mexican Food"
"122","Taqueria Latinos II"
"124","Mexico and More Cuisine"
"125","Jalisco Mexican Restaurants & Taqueria"
"127","El Rey Del Taco"
"128","La Villa"
"129","Restaurante Michoacan"
"130","El Antojo -Taco Truck"
"131","Taqueria Costa Alegre Taco Bus"
"132","La Conasupo Market"
"133","Taqueria El Mezon"
"134","Three Keys Street Cuisine"
"137","Puerto Vallarta Restaurant"
"139","Que Tacos"
"140","Mi Fondita del Itsmo"
"141","Mama's Cantina"
"142","Mr Villa Mexican Restaurant"
"143","El Cabrito"
"144","Taqueria La Fondita"
"145","Chemo's Mexican Restaurant"
"146","Cemitas Poblanas"
"147","Jalisco Restaurant"
"148","The Yard Cafe"
"149","Wildfire Taqueria"
"150","Taqueria La Original"
"151","Taco Del Mar"
"152","Taqueria El Rincon"
"153","Tienda Mi Pueblito"
"154","The Gulf"
"155","El Taco Loco"
"157","Los Potrillos"
"158","Taqueria Las Torres"
"159","Las Margaritas"
"160","Kofoo Bueno"
"161","El Malecon Mexican Food"
"164","El Chapulin Oaxaqueno"
"165","Taqueria Latinos"
"166","Tacos Las Delicias"
"168","Viva Mexico"
"169","La Rielera LLC"
"170","Jose's Taqueria"
"171","Tienda Mi Ranchito"
"172","La Tienda Mexicana El Oaxaque"
"173","Taqueria 3 Reyes"
"174","Taqueria El Sabor"
"175","Tacos El Tajin"
"176","Tarasco Mexican Restaurant"
"177","El Rinconsito"
"178","Sabor A Mi"
"179","QDOBA Mexican Eats"
"180","Broadway Tamale Lady"
"182","Hotel Albatross"
"184","Taqueria Contreras"
"189","Fiesta Fiesta"
"191","Moreno Mexican Food Truck"
"192","Flair Taco"
"193","Los Agaves Catering"
"196","Taqueria El Carreton"
"197","Julio's"
"199","Taco Bell"
"200","Plaza Garcia Family Mexican Restaurant"
