"","name"
"1","Amazing Thai Cuisine"
"2","Pestle Rock"
"3","Lotus Thai Cuisine"
"4","Mantra"
"5","Bahn Thai Restaurant"
"6","Tuk Tuk Thai Kitchen"
"7","Jamjuree Thai Cuisine"
"8","Noi Thai Cuisine - Seattle"
"9","Buddha Ruksa"
"10","Tup Tim Thai"
"11","Salee Thai Restaurant"
"12","SOI"
"13","Song Phang Kong"
"14","Pung Kang Noodle Place"
"15","Mai Thaiku"
"16","Panwa Thai"
"17","Manao Thai Street Eats"
"18","Thai Siam"
"19","Little Thai Restaurant"
"20","Pop Pop Thai Street Food"
"21","Laem Buri"
"22","Bai Tong Thai Street Cafe"
"23","Araya's Place"
"24","Djan's Thai Restaurant"
"25","Thai Recipe Restaurant"
"26","Wann Yen"
"27","Thai Curry Simple"
"28","Jhanjay Vegetarian Thai Cuisine"
"29","Silver Tray"
"30","Thaprachan Thai Cuisine"
"31","2C Thai Bistro & Spirits"
"32","Little Uncle"
"33","Pinkaew Thai Cuisine"
"35","Phayathai Cuisine"
"36","Kwanjai Thai Cuisine"
"37","Bang Bar Thai Restaurant"
"38","Chandala Thai Cuisine"
"39","Thai Tom"
"40","Thudsuan Kitchen & Bar"
"41","Harbor Café"
"42","Chaiyo Thai Cuisine"
"43","Wild Ginger"
"44","Thai-U-Up"
"45","Wedgwood II Vegetarian Thai"
"46","Mae Phim Thai"
"47","Viengthong"
"48","Thai Thani Kitchen"
"49","May Restaurant and Lounge"
"50","Orrapin Thai Cuisine"
"51","Racha Thai & Asian Kitchen"
"52","Ayutthaya Thai"
"54","Khao San Road Thai Cuisine"
"55","Golden Singha Thai Cuisine"
"56","Jai Thai"
"57","Rom Mai Thai"
"58","O'Ginger Bistro"
"59","ZapVerr Thai Restaurant & Lounge"
"60","The Thaitan Restaurant"
"61","Thai Greenwood"
"62","Kaosamai Thai Restaurant & Caterer's"
"63","Ti22"
"64","Krua Thai Family Kitchen"
"65","Ying Thai Kitchen"
"66","Pailin Thai Cuisine"
"67","Citrus Thai Cuisine"
"68","Pinto Thai Bistro & Sushi Bar"
"69","Chada Thai Restaurant"
"70","Tropics"
"71","Somtam Thai"
"73","Thaiger Room"
"74","Naam Thai Cuisine"
"75","Noodle Nation"
"76","The Patio Fine Thai Cuisine"
"78","Siam On Eastlake"
"79","Thai On 1"
"80","Sen Noodle Bar"
"81","Spice Room"
"83","Marlai Thai Restaurant"
"84","Ferry Noodle House"
"85","Thai Ginger"
"86","Namfon Thai Cuisine"
"87","Thai One On"
"88","Thai Ocean"
"89","Thai Fusion"
"90","Bai Pai"
"91","Eat Thai Cuisine"
"92","Krittika Noodles & Thai"
"93","Lake Thai Cuisine"
"94","King Donuts "
"96","88 Restaurant"
"97","Kinnaree Thai Cuisine"
"98","Tangerine Thai"
"99","Mae Ploy Thai Cuisine"
"100","Thai Fusion Bistro"
"101","Sugar Hill"
"102","Thai 2 Go"
"103","Wild Orchid"
"104","Thai Star Restaurant"
"105","Amazing Thai Lao Cuisine"
"106","Royal Palm Thai Restaurant"
"107","Vatsana Thai Restaurant"
"108","Thai Taste Restaurant"
"109","Sea Thai"
"110","Le's Pho Tai"
"111","Thai 65"
"112","Thai of Wedgwood"
"113","Jasmine Thai Cuisine"
"115","Spring Kitchen"
"116","Spice Orient"
"117","Thai Place"
"118","Isarn Thai Soul Kitchen"
"119","Basil Box"
"120","Sukho Thai"
"121","Pho Ha"
"122","Olympic Express"
"124","Uncle <U+200B>Lee's"
"125","Bai Tong Thai Restaurant"
"126","Hanuman Thai Cafe"
"127","Yum Yum Thai"
"128","Anise Thai Cuisine"
"129","Pon Proem Thai Restaurant"
"130","GaiBox"
"131","Ma Prang Thai Restaurant"
"132","Thai Golden Bowl"
"133","Tommy Thai's Restaurant"
"134","Ruby Thai"
"135","Chantanee Thai Restaurant & Bar"
"136","Noppakao Thai Restaurant"
"137","Rice 'n Spice Thai Cuisine"
"138","Nibbana Thai Cookery"
"139","Thumra Thai Restaurant"
"140","Irene Thai Cuisine"
"141","Oodles Noodles Bar & Grill"
"142","Satay Bar"
"143","Sing Tong Thai Cuisine"
"144","Bainbridge Thai Cuisine"
"145","Thai Grill"
"146","Herbs Thai To Go"
"147","Thai Bistro"
"148","Tasty Thai"
"149","Thai Tanee Express"
"150","Sri Uma Thai Cuisine"
"151","Lai-Thai Restaurant"
"152","Tangerine Thai Cuisine"
"154","Kaosamai Thai Mobile Kitchen"
"155","Thai Kitchen"
"156","Pen Thai"
"157","Wanta Thai Cuisine"
"158","Thai Woodinville"
"159","Tummy Yummy Thai"
"160","Thai Herbs"
"162","Fortune Noodle House"
"163","Thai on Highlands"
"164","Thai Chef"
"168","Thai Castle Restaurant"
"169","Racha Thai Cuisine"
"170","Kobe Restaurant"
"171","O'Char Thai"
"172","The Street Vendor By Typhoon!"
"173","Teriyaki & More"
"174","Spicy Papaya"
"175","Djung on Wheels"
"176","Noodle Bowl"
