"","name"
"1","Dan's Kitchen"
"2","5 Spot"
"3","Wakefield Bar"
"4","Cask & Trotter"
"5","Bait Shop"
"6","Ludi's"
"7","Metropolitan Grill"
"8","CJ's Eatery"
"9","Shawn O'Donnell's American Grill & Irish Pub"
"10","Bakeman's Restaurant"
"11","Mecca Cafe"
"12","Lamplighter Public House"
"13","Tippe and Drague Alehouse"
"14","Sonya's Bar & Grill"
"15","Bing's"
"16","BRGR Bar Seattle"
"17","Corvus & Company"
"18","The Sloop Tavern"
"19","The Blue Glass"
"20","Geraldine's Counter"
"21","Cheese Wizards Food Truck"
"22","Two Bells Bar & Grill"
"23","The Rhododendron Cafe"
"24","Thackeray"
"25","King's Hardware"
"26","Elliott Bay Brewery & Pub"
"27","Easy Joe's American Pub"
"28","Ballard Smoke Shop"
"29","EJ Burger"
"30","Luna Park Cafe"
"31","Jak's Grill"
"32","Norm's Eatery & Ale House"
"33","Olaf's"
"34","Pike Brewing Company"
"35","Cooper's Alehouse"
"36","The People's Burger"
"37","Wild Mountain Cafe"
"39","Bad Albert's Tap & Grill"
"40","The Pub at Third Place"
"41","Smarty Pants"
"42","West 5"
"43","Saltoro"
"44","Bick's Broadview Grill"
"45","Elysian Brewing - Capitol Hill"
"46","Brave Horse Tavern"
"47","St Andrews Bar & Grill"
"48","The Tin Hat"
"49","Six Arms"
"50","The Kraken Bar & Lounge"
"51","The Rock Wood Fired Kitchen"
"52","Ballard Loft"
"53","Highstrike Grill"
"54","Greenlake Bar & Grill"
"55","Lowell's Restaurant"
"56","Elliott Bay Public House & Brewery"
"57","Sluggers Seattle"
"58","Kate's Pub"
"59","Cutters Crabhouse"
"60","Hattie's Hat Restaurant"
"61","Montis Grill"
"62","Bing's Kitchen"
"63","Triangle Pub"
"64","McMenamins Queen Anne"
"65","Young's Restaurant"
"66","The Twilight Exit"
"67","Linda's Tavern"
"68","Ivar's Salmon House"
"69","Fiddler's Inn Pub & Restaurant"
"70","Wedgwood Broiler"
"71","Tim's Tavern"
"72","Salare"
"73","Planet Java Diner"
"74","Beth's Cafe"
"75","Sarajevo Restaurant & Lounge"
"76","The Sexton"
"77","Eastlake Bar & Grill"
"78","The Dog House Bar & Grill"
"79","The Comet Tavern"
"80","The Dish"
"81","Endolyne Joes"
"82","The Cheesecake Factory"
"83","The Comfort Zone"
"84","Pike Place Chowder"
"85","Stanford's Restaurant & Bar"
"86","Hooverville Bar"
"87","Market Diner"
"88","Pacific Inn Pub"
"89","Marco Polo Bar & Grill"
"90","The Barking Dog Alehouse"
"91","Hiroki"
"92","Buckley's On Queen Anne"
"93","Midtown Espresso"
"94","H Bar"
"95","McCoy's Firehouse"
"96","The Grilled Cheese Experience"
"97","Cafe Lulu"
"98","Frolik Kitchen + Cocktails"
"99","Union Bar - Hillman City"
"100","125th Street Grill"
"101","Ram Restaurant & Brewery"
"102","Serendipity Cafe and Lounge"
"103","King Street Bar and Oven"
"104","Harry's Chicken Joint"
"105","Copper Coin"
"106","Caroline Tavern"
"107","Box House"
"108","Regatta Bar & Grille"
"109","The Maple Bar"
"110","Lake Forest Bar & Grill"
"111","Belltown Pub"
"112","Blue Star Cafe & Pub"
"113","Sport Restaurant & Bar"
"114","Boss Drive In"
"115","Buckley's In Belltown"
"116","The Stone House Café"
"117","Collins Pub"
"118","Nickerson Street Saloon"
"119","Hawk's Nest"
"120","Admiral Pub"
"121","Ozzie's"
"122","Slim's Last Chance"
"123","Phinney Market Pub & Eatery"
"124","Ballard Grill & Ale House"
"125","Red Robin Gourmet Burgers"
"126","Toronado Seattle"
"127","The Dock Sports Bar & Grill"
"128","Vios Cafe"
"129","Columbia City Ale House"
"130","The Chieftain"
"131","Teatro ZinZanni"
"132","Bay Cafe"
"133","Salmon Bay Café"
"134","Whisky West"
"135","Grumpy's Food Truck"
"136","Hale's Ales Brewery & Pub"
"137","Vestal"
"138","Davids & Co"
"139","The Market St"
"140","Daily Grill"
"141","The Grubstake"
"142","Maggie Bluffs"
"143","DeLuxe Bar & Grill"
"144","Hit it Here Cafe and Bar"
"145","North Star Diner & Shanghai Room"
"146","Al's Tavern"
"147","Beacon Grill"
"148","Ivar's Acres of Clams"
"149","Lottie's Lounge"
"151","The Flame"
"152","Zanzibar"
"153","13 Coins Restaurant"
"155","CaliBurger Seattle"
"156","Deli Seoul"
"157","Redtrees Restaurant + Bar"
"158","Mox Boarding House"
"159","Queen Anne Cafe"
"160","Bleachers Pub"
"161","Goofy's Bar"
"162","Earl's On the Avenue"
"163","Daniel's Broiler"
"164","The Harbour Public House"
"165","Streamliner Diner"
"166","The Pumphouse Bar & Grill"
"167","The Lockspot Cafe"
"168","R Place Bar & Grill"
"169","Bake's Place - Bellevue"
"170","Brella's"
"171","Brileys BBQ & Grill"
"172","Taradise Cafe"
"173","BluWater Bistro"
"174","Patty's Eggnest"
"175","Grounders World Famous Garlic Fries"
"176","Mad Dawg's Hot Dogs"
"177","Doc's Marina Grill"
"178","Henry's Seattle"
"179","Steve's Bar & Grill"
"180","Denny's"
"181","Cocoa Banana"
"182","Big Foot BBQ"
"183","Julia's of Wallingford"
"185","Pono Ranch"
"186","Buffalo Wild Wings"
"187","The Madison Diner"
"188","Quality Athletics"
"189","Couzin's Cafe"
"190","The Red Door"
"191","Urban Cafe"
"192","Shake 'N Go"
"193","Vera's Restaurant"
"194","The Lodge Sports Grille"
"195","Mike's Chili Parlor"
"196","The Egg & Us"
"197","The Goose Pub N Eatery"
"198","Lect's Soup Stop"
"199","Spiro's Greek Grill"
"200","Soup's On!"
