"most.pop.city","states","lat","long"
"Birmingham, AL","AL",33.5207,-86.8025
"Phoenix, AZ","AZ",33.4484,-112.074
"Little Rock, AR","AR",34.7465,-92.2896
"Los Angeles, CA","CA",34.0522,-118.2437
"Denver, CO","CO",39.7392,-104.9903
"Bridgeport, CT","CT",41.1865,-73.1952
"Wilmington, DE","DE",39.7391,-75.5398
"Jacksonville, FL","FL",30.3322,-81.6557
"Atlanta, GA","GA",33.749,-84.388
"Boise, ID","ID",43.6187,-116.2146
"Chicago, IL","IL",41.8781,-87.6298
"Indianapolis, IN","IN",39.7684,-86.1581
"Des Moines, IA","IA",41.6005,-93.6091
"Wichita, KS","KS",37.6872,-97.3301
"Louisville, KY","KY",38.2527,-85.7585
"New Orleans, LA","LA",29.9511,-90.0715
"Portland, ME","ME",43.6615,-70.2553
"Baltimore, MD","MD",39.2904,-76.6122
"Boston, MA","MA",42.3601,-71.0589
"Detroit, MI","MI",42.3314,-83.0458
"Minneapolis, MN","MN",44.9778,-93.265
"Jackson, MS","MS",32.2988,-90.1848
"Kansas City, MO","MO",39.0997,-94.5786
"Billings, MT","MT",45.7833,-108.5007
"Omaha, NE","NE",41.2524,-95.998
"Las Vegas, NV","NV",36.1699,-115.1398
"Manchester, NH","NH",42.9956,-71.4548
"Newark, NJ","NJ",40.7357,-74.1724
"Albuquerque, NM","NM",35.0853,-106.6056
"New York City, NY","NY",40.7128,-74.0059
"Charlotte, NC","NC",35.2271,-80.8431
"Fargo, ND","ND",46.8772,-96.7898
"Columbus, OH","OH",39.9612,-82.9988
"Oklahoma City, OK","OK",35.4676,-97.5164
"Portland, OR","OR",45.5231,-122.6765
"Philadelphia, PA","PA",39.9526,-75.1652
"Providence, RI","RI",41.824,-71.4128
"Columbia, SC","SC",34.0007,-81.0348
"Sioux Falls, SD","SD",42.5446,-96.7311
"Memphis, TN","TN",35.1495,-90.049
"Houston, TX","TX",29.7604,-95.3698
"Salt Lake City, UT","UT",40.7608,-111.891
"Burlington, VT","VT",44.4759,-73.2121
"Virginia Beach, VA","VA",36.8529,-75.978
"Seattle, WA","WA",47.6062,-122.3321
"Charleston, WV","WV",38.3498,-81.6326
"Milwaukee, WI","WI",43.0389,-87.9065
"Cheyenne, WY","WY",41.14,-104.8202
